,released,NEED RE,order #,PO #,quantity,thick,width,length,grade,mill,frt,Total,,,,
 EIGHTY FOUR W/O 11-20 ,,,56566,BC11188,21,2,6,104,2,469,66,535,,,,
 EIGHTY FOUR W/O 11-20 ,,,56567,BC11189,2,2,4,10,2,419,66,485,,,,
,,,,,9,2,4,104,2,479,66,545,,,,
,,,,,9,2,6,104,2,469,66,535,,,,
 TLC ,,,56563,6937,21,2,6,104,2,450,20,470,,,,
 clark ,8-Nov,,56572,19395,22,2,4,92-5/8,2,415,40,455,,,,
" $ 56,502.00 ",13-Nov,,56573,MT53933,12,2,6,104-5/8,2,455,,,,,,
,,,,,6,2,6,116-5/8,2,450,,,,,,
 Barnett ,,,56576,1706311,21,2,6,104-5/8,2,450,15,465,,,,
 Barnett ,,,56577,1706313,21,2,6,104-5/8,2,450,15,465,,,,
 Barnett ,,,56578,1706312,20,2,4,104-5/8,2,440,15,455,,,,
 Barnett ,14-Nov,,56579,1706314,20,2,4,104-5/8,2,440,15,455,,,,
 Barnett ,30-Nov,,56580,1706315,20,2,4,104-5/8,2,440,15,455,,,,
 Barnett ,,,56581,1706316,20,2,4,104-5/8,2,440,15,455,,,,
SML,,,56582,122277,2,2,4,8,4,,,,,,,
,,,,,7,2,4,10,4,,,,,,,
,,,,,4,2,4,12,4,,,,,,,
,,,,,3,2,4,8,kw,,,,,,,
,,,,,1,2,6,6,4,,,,,,,
SML,,,56583,122278,4,2,4,8,kw,,,,,,,
,,,,,7,2,4,10,kw,,,,,,,
,,,,,5,2,4,12,kw,,,,,,,
,,,,,1,2,4,6,4,,,,,,,
,,,,,2,2,6,6,4,,,,,,,
SML,,,56584,122279,2,2,4,12,kw,,,,,,,
,,,,,4,2,6,10,4,,,,,,,
,,,,,5,2,6,10,3,,,,,,,
,,,,,5,2,6,12,4,,,,,,,
,,,,,2,2,6,6,4,,,,,,,
SML,9-Nov,,56585,122280,1,2,6,12,4,,38,,,,,
,,,,,9,2,4,4,rd,,,,,,,
,,,,,3,2,6,4,rd,,,,,,,
,,,,,5,2,4,6,4,,,,,,,
,,,,,3,2,6,6,4,,,,,,,
SML,,,56588,122281,9,2,6,10,4,,,,,,,
,,,,,7,2,6,10,3,,,,,,,
,,,,,2,2,6,8,3,,,,,,,
TLC,,,56586,7034,20,2,4,104-5/8,2,460,40,,,,,
TLC,,,56587,7035,21,2,6,104-5/8,2,455,40,,,,,
TLC,,,56562,7032,17,2,4,116,2,,20,,,,,
TLC,,,56611,7092,21,2,6,104,2,455,20,,,,,
SMT ,,,56612,14319,21,2,4,8,3,290,,,,,,
SMT ,,,56613,14252,21,2,4,9,4,240,,,,,,
SMT ,,,56616,14342,23,2,6,8,3,270,,,,,,
Tampa,,,56637,32545,22,2,4,8,3,290,40,,,,,
Tampa,,,56638,32546,22,2,4,8,3,305,45,350,,,,
PILCROW,13-Nov,,56614,STL171113-A,23,2,6,8,2p,405,,,,,,
PILCROW,13-Nov,,56615,STL171113-B,23,2,6,8,2p,405,,,,,,
CEDAR CREEK,,,56617,502781,10,2,6,104,2,450,20,470,,,,
,,,,,4,2,6,116,2,450,20,470,,,,
,,,,,4,2,4,104,2,460,20,480,,,,
MILLING,,,56618,122377,2,2,4,6,4,,,,,,,
,,,,,4,2,4,8,4,,,,,,,
,,,,,2,2,6,6,4,,,,,,,
,,,,,1,2,6,10,4,,,,,,,
,,,,,2,2,6,12,4,,,,,,,
,,,,,8,2,6,8,3,270,,,,,,
MILLING,,,56619,122378,20,2,4,9,4,,,,,,,
MILLING,,,56620,122379,21,2,6,9,4,,,,,,,
MILLING,,,56621,122380,23,2,6,8,3,270,,,,,,
UFPI,,,56623,21856197,23,2,6,8,3,270,65,335,,,,
STRING 11-20,,,56625,2090649,22,2,4,8,2,385,,,,,,
STRING ,,,56624,2090551,15,2,6,12,1,430,,,,,,
BFS,14-Nov,,56626,25307804,3,2,4,92.5,2,415,16,431,,,,
,,,,,4,2,4,116,2,425,16,441,,,,
,,,,,2,2,6,92.5,2,360,16,376,,,,
,,,,,10,2,6,104,2,455,16,471,,,,
LMC,5-Jan,,56627,10366953,21,2,6,104,2,460,45,505,,,,
LMC,5-Jan,,56628,10366954,21,2,6,104,2,460,45,505,,,,
LMC,19-Jan,,56629,10366955,21,2,6,104,2,460,45,505,,,,
LMC,,,56630,10366956,21,2,6,104,2,460,45,505,,,,
LMC,,,56649,10366957,5,2,4,12,2,420,45,465,,,,
,,,,,2,2,6,8,2,350,45,395,,,,
,,,,,2,2,6,12,2,400,45,445,,,,
,,,,,9,2,4,104,2,460,45,505,,,,
MILLING ,,,56631,122382,9,2,6,116,2,255,20,275,,,,
SMT,15-Nov,,56646,14404,21,2,4,9,4,245,,,,,,
TAMPA,1-Dec,,56644,32621,14,2,4,12,2,415,30,,,,,
TAMPA,12-Dec,,56645,32622,14,2,4,12,2,415,,,,,,
MACSOUTH,14-Nov,,56633,14976-B,15,2,6,12,2,400,40,,,,,
TAMPA,,14-Nov,56643,32663,15,2,6,12,2,405,,,,,,
Cherokee,,,56635,164-3,21,2,6,104,2,455,40,,,,,
Cherokee,,,56636,164-4,8,2,4,116,2,430,40,,,,,
,,,,,9,2,6,116,2,455,40,,,,,
BI,,,56640,67514,21,2,6,9,4,250,,,,,,
BI,,,56641,67515,21,2,6,9,4,250,,,,,,
BI,,,56642,67516,21,2,6,9,4,250,,,,,,
BRIDGE,,,56639,811154,22,2,4,92.5,2,420,,,,,,
GSWP NON VMI,,,56647,1299170111,15,2,6,12,2P,,,,,,,
GSWP NON VMI,,,56648,1299170211,15,2,6,12,2P,,,,,,,
TLC,,,56591,7060,10,2,4,104,2,460,,,,,,
,,,,,11,2,6,104,2,455,,,,,,
TLC,,,56592,7061,12,2,4,104,2,460,42,,,,,
,,,,,7,2,4,92.5,2,425,42,,,,,
TLC,,,56593,7064,10,2,4,104,2,460,27,,,,,
,,,,,10,2,6,104,2,455,27,,,,,
TLC,5-Jan,,56594,7065,20,2,4,104,2,460,,,,,,
TLC,,,56595,7066,20,2,4,104,2,460,,,,,,
TLC,17-Jan,,56596,7067,20,2,4,104,2,460,40,500,,,,
TLC,,,56597,7068,20,2,4,104,2,460,42,,,,,
TLC,,,56598,7069,20,2,4,104,2,460,20,,,,,
TLC,27-Mar,,56599,7070,20,2,4,104,2,460,20,,,,,
TLC,,,56600,7071,20,2,4,104,2,460,20,,,,,
TLC,,,56601,7072,21,2,6,104,2,455,,,,,,
TLC,,,56602,7073,21,2,6,104,2,455,41,496,,,,
TLC,,,56603,7074,21,2,6,104,2,455,20,,,,,
TLC,,,56604,7075,11,2,6,104,2,455,27,,,,,
,,,,,10,2,4,104,2,460,,,,,,
TLC,7-Dec,,56605,7076,21,2,6,104,2,455,20,,,,,
TLC,,,56606,7077,21,2,6,104,2,455,40,495,,,,
TLC,29-Mar,,56607,7078,21,2,6,104,2,455,20,,,,,
TLC,,,56608,7080,21,2,6,104,2,455,,,,,,
TLC,17-Jan,,56609,7081,21,2,6,104,2,455,37,492,,,,
TLC,,,56610,7083,21,2,6,104,2,455,,,,,,
STRING,,,56659,2090661,15,2,6,12,2,400,,,,,,
 VNS CORNELIA ,complete,,56723,2633910,11,2,6,105,2,440,40,480,,,,
,,,,,9,2,4,105,,450,40,490,,,,
 VNS CORNELIA ,gtg ,,56724,2633918,11,2,6,105,2,440,40,480,,,,
,,,,,9,2,4,105,,450,40,490,,,,
 VNS CORNELIA ,18-Dec,,56725,2633927,20,2,4,105,2,450,40,490,,,,
 VNS CORNELIA ,18-Dec,,56726,2633934,20,2,4,105,2,450,40,490,,,,
 VNS CORNELIA ,9-Jan,,56727,2633935,20,2,4,105,2,450,40,490,,,,
 VNS CORNELIA 1-1 ,,,56728,2633943,20,2,4,105,2,450,40,490,,,,
